Carimbo de data/hora,Como você avalia seu nível de comprometimento nas atividades da liga?,Você se sente produtivo e engajado nas tarefas propostas?,Quão confortável você se sente para propor ideias e colaborar com a equipe?,RH: A diretoria contribui para um ambiente organizacional saudável e proporciona suporte adequado aos membros?,Pesquisa: A diretoria contribui para o desenvolvimento de conteúdo científico no âmbito acadêmico?,Projetos: A diretoria realiza a gestão eficiente das atividades e entrega resultados esperados?,Marketing: As estratégias de comunicação e divulgação têm gerado impacto positivo na liga?,Administrativo: A diretoria fornece o suporte necessário para o bom funcionamento das atividades?,Secretaria: Tem garantido a organização e o fluxo eficiente das informações dentro da liga?  ,Presidência: A Presidência tem demonstrado liderança eficaz e proporcionado a visão estratégica necessária para o crescimento da liga?  ,Quais foram os pontos fortes da liga no mês de Outubro? ,Existe algo que você gostaria de ver melhorado na liga? ,"Deixe aqui suas ideias, sugestões ou elogios para melhorar o ambiente da liga."
04/11/2025 09:55:25,Muito Alto,Sempre,5,5,5,4,5,5,5,5,Rebranding. Aproveitou a entrada de novos membros e está sempre em busca de invocação ,NDA,NDA
04/11/2025 10:04:36,Alto,Algumas vezes,4,5,5,4,5,5,5,5,"Vendo por cima, vi que quando os membros que foram efetivados recentemente chegaram deu um gás novo na liga.","A comunicação interna deveria melhorar um pouco, sinto as vezes que as tarefas que chegam aqui são jogadas de forma abrupta e sem sentido. Além disso, sinto um desbalanço entre as diretorias, algumas com muitas tarefas e menos gente,  e algumas com menos tarefas e mais gente, deveríamos avaliar isso."," - elogio: empenho dos participantes em fazer as coisas acontecerem, crítica: comunicação e interna, vamos melhorar como as tarefas são demandadas, a comunicação eficaz e não agressiva é a chave para uma boa convivência."
04/11/2025 10:54:27,Alto,Sempre,5,4,5,4,5,5,5,5,O marketing ,Organização das tarefas e dos projetos ,Mais engajamento entre os membros 
04/11/2025 20:59:50,Muito Alto,Sempre,5,5,5,5,5,5,5,5,"As capacitações, gostei muito delas.","Mais transparência em relação ao que está sendo feito, tipo um grande gráfico com o fluxo contínuo das atividades.",Não tenho sugestões no momento.
04/11/2025 23:50:11,Muito Alto,Sempre,5,5,5,4,5,5,4,5,Participação em eventos que proporcionaram grande visibilidade quando unidos a uma excelente divulgação por parte do marketing,oportunidades de integração entre os membros,"a proposta de modificar a sala da liga é muito importante, acredito que será de uma contribuição enorme para o bem-estar dos membros, principalmente dos que possam usufruir dela com mais frequência"
05/11/2025 13:33:01,Alto,Quase sempre,5,5,5,5,5,5,5,5,"A liga está bem movimentada, vários projetos em andamento ao mesmo tempo",São tantas informações que as vezes fico meio perdido,"Imagino que a adoção de alguma ferramenta para organizar melhor a liga seria ideal, mas não saberia dizer qual ferramenta. Fora isso, queria deixar o elogio que a liga está muito engajada, tá legal de ver!"
06/11/2025 19:49:43,Muito Alto,Sempre,4,5,5,5,5,5,5,5,Incentivo a participação nos eventos desse mês e o bom andamento dos projetos e atividades da liga ,Mais informações e comunicação sobre os projetos paralelos para quem não tá envolvido,"a liga toda é muito bem organizada, todos estão de parabéns "
08/11/2025 18:23:14,Moderado,Quase sempre,5,5,5,4,5,5,4,5,Participação em eventos e engajamento início dos novos membros,Transparência ,Diretoria de Marketing botando pra quebrar 
09/11/2025 11:03:37,Alto,Quase sempre,5,5,5,5,5,5,5,5,"O marketing da liga foi muito forte, o engajamento tanto da liga quanto dos membros para participar de eventos foi muito bom, e a oferta de projetos foi enorme também, tem muitas coisas que você podr se envolver","Creio que isso vem com o tempo e com ações do RH, mas acho que o contato entre os membros e creio que pra quem não esta participando dos projetos, fica um pouco turvo oq q liga está fazendo, ent creio que transparência ","A equipe de marketing está arrebentando, e como eu disse, so acho que os membros deveriam ter mais contato entre si"
09/11/2025 11:15:00,Alto,Quase sempre,5,5,5,5,5,5,5,5,Os eventos e o marketing ,Não ,...
09/11/2025 11:35:09,Alto,Quase sempre,4,4,4,4,5,4,4,5,Acredito que o cumprimento das atividades propostas e a adaptação do pessoal que está chegando nas diretorias,"Devido a chegada dos novos membros, a liga pode ter se bagunçado um pouco, acredito que poderíamos melhorar na organização ","Novamente, acredito que uma melhor organização em questão de delegação das tarefas, formulação de equipe, o repasse das informações e etc. Além de que poderíamos fazer um pouco menos de coisas, dessa forma, acredito que poderíamos focar mais nas atividades que temos e consequentemente fazê-las de forma mais eficiente. De toda forma, acho que a liga tem sido excelente na evolução do pessoal e particularmente estou gostando muito da minha ""estadia"" aqui."
09/11/2025 11:40:42,Moderado,Algumas vezes,5,5,5,5,5,5,5,5,O marketing nesse mês mostrou muita força.,acho q n,tudo massa
09/11/2025 12:15:56,Moderado,Algumas vezes,5,5,5,3,3,4,3,4,"As fotos! Acho que engajou bastante o pessoal. Também foi um ""mimo"" já que vamos receber elas.",Acho que falta maior transparência na tomada de decisões.,"Aumentar a transparência e consultar os membros antes de tomar decisões para todos. Por mais que entenda a compra das camisas, me senti forçado a comprá-la."
09/11/2025 13:15:02,Alto,Algumas vezes,4,4,4,4,5,5,4,3,"Muitos eventos, integração dos novos membrs foi bem sucedida e o time está ótimo ","Comunicação e compreensão por parte dos superiores;
A forma como a contribuição financeira é cobrada é desconfortável;
Há um favoritismo veladíssimo e as opiniões só são valorizadas por uma quantia específica de membros. 

Seria importante trabalhar melhor a cultura de respeito e escuta dentro da liga. Todo mundo devia ter o mesmo espaço pra falar e ser levado a sério, independente de gênero, cargo ou tempo de casa.","Apesar de tudo, estamos muito engajados em grandes eventos, é lindo ver a liga crescendo e tomando espaços assim."
09/11/2025 13:25:36,Alto,Sempre,5,5,5,5,5,5,5,5,Os eventos,"até o momento, não",.
09/11/2025 18:34:48,Alto,Sempre,3,5,5,5,5,5,5,5,"A participação em vários eventos que trouxe experiência e conhecimento para os membros, o planejamento das atividades da semac que ao meu ver são bem interessantes e a mudança na sala da liga que traz uma ar mais aconchegante e profissional. ","Eu acho que é algo mais da minha parte, mas como temos muitos membros, atividades que reúnam todos seria bem interessante para tivéssemos uma maior interação. ","Estou gostando bastante da minha experiência na liga, mas ainda me sinto um pouco desajeitada para me enturmar e da minha opinião. Eu sei que isso é algo mais da minha parte, e estou tentando me policiar mais sobre isso, mas atividades que possam reunir mais os membros poderia ser uma boa para enturmar mais."
09/11/2025 22:45:55,Alto,Sempre,4,4,5,5,5,4,4,5,A ideia da foto com a camisas foi uma ideia fantástica para fortalecer a imagem da liga,No momento não sei oque indicar,"Revalidação se o clickup é a melhor ferramenta para colocar as tarefas, existe mt dúvidas entre mim e uns companheiros da liga l"
09/11/2025 23:07:14,Moderado,Algumas vezes,4,5,5,4,5,5,5,5,A participação no Campus Party.,Ainda não observei nada que possa ser sugerido.,"A liga tem sido um ambiente confortável, sempre disposta a ouvir e melhorar. "
09/11/2025 23:15:02,Alto,Sempre,5,5,5,5,5,5,5,5,"Camisas, marketing bem presente, sessão de fotos, eventos...",Não,Gostei bastante do projeto apresentado no grupo =)
10/11/2025 04:12:51,Muito Alto,Sempre,5,4,3,5,5,5,3,3,A foto da liga ,União dos membros ,Mais atividades envolvendo todos os membros
10/11/2025 08:35:55,Alto,Quase sempre,5,4,4,4,4,4,4,5,As iniciativas da presidência ,"Fazer menos projetos “de graça”, pedindo bolsas legais",O estatuto deveria permitir que o presidente se mantenha indefinidamente caso seja reeleito
10/11/2025 09:06:30,Moderado,Algumas vezes,4,5,5,1,5,5,5,5,"Compromisso com os projetos propostos;
Criatividade na formulação dos projetos.",Até agora não.,Já tinha mencionado de ter board games na sala da liga.